,date,ticker,assets,book_equity,shares_rep,shares_outstanding,adj_close
6797,2020-06-30,GBLI,2113148000.0,735194000.0,-10000.0,14350000.0,23.66019630432129
6798,2020-03-31,GBLI,2028504000.0,674636000.0,-143000.0,14320000.0,24.92354965209961
6799,2019-12-31,GBLI,2075885000.0,726809000.0,-143000.0,14300000.0,28.6613826751709
6800,2020-09-30,EXPI,232200000.0,110911000.0,-9343000.0,69950000.0,40.34000015258789
6801,2020-06-30,EXPI,154875000.0,78328000.0,-1682000.0,68530000.0,17.049999237060547
6802,2020-03-31,EXPI,110665000.0,55776000.0,-10305000.0,67110000.0,8.460000038146973
6803,2019-12-31,EXPI,96452379.0,51967285.0,-9407122.0,65269999.99999999,11.329999923706055
6804,2020-10-31,RAVN,407780000.0,327695000.0,-99000.0,35850000.0,
6805,2020-07-31,RAVN,391777000.0,317551000.0,-124000.0,35840000.0,21.61000061035156
6806,2020-04-30,RAVN,458333000.0,312424000.0,-627000.0,35840000.0,22.14374351501465
6807,2020-01-31,RAVN,403257000.0,314646000.0,-1028000.0,35770000.0,30.9936637878418
6808,2020-09-30,DGX,14143000000.0,6400000000.0,,135000000.0,113.92694854736328
6809,2020-06-30,DGX,12990000000.0,5831000000.0,,134000000.0,112.86307525634766
6810,2020-03-31,DGX,12049000000.0,5657000000.0,-88000000.0,134000000.0,78.91983032226562
6811,2019-12-31,DGX,12843000000.0,5641000000.0,-200000000.0,133000000.0,104.43392944335938
6812,2020-09-26,TSCO,6860797000.0,1875866000.0,-341000.0,116500000.0,
6813,2020-06-27,TSCO,6611075000.0,1695730000.0,-1984000.0,116180000.0,
6814,2020-03-28,TSCO,6002405000.0,1353723000.0,-268626000.0,115590000.0,
6815,2019-12-28,TSCO,5289268000.0,1567123000.0,-43370000.0,118160000.0,
6816,2020-09-30,SCOR,672222000.0,233954000.0,-8000.0,71310000.0,2.039999961853028
6817,2020-06-30,SCOR,683619000.0,240007000.0,-3000.0,70870000.0,3.0999999046325684
6818,2020-03-31,SCOR,695841000.0,245461000.0,-65000.0,70210000.0,2.8199999332427983
6819,2019-12-31,SCOR,723695000.0,258974000.0,-57000.0,70070000.0,4.940000057220459
6820,2020-09-30,EPAY,814253000.0,422416000.0,,42660000.0,42.15999984741211
6821,2020-06-30,EPAY,793137000.0,392334000.0,,42170000.0,50.77000045776367
6822,2020-03-31,EPAY,780572000.0,382895000.0,-4813000.0,41910000.0,36.650001525878906
6823,2019-12-31,EPAY,694931000.0,395934000.0,-4327000.0,41700000.0,53.599998474121094
6824,2020-09-30,PBF,10191300000.0,1935400000.0,,120150000.0,5.690000057220459
6825,2020-06-30,PBF,10073300000.0,2344800000.0,-200000.0,120030000.0,10.239999771118164
6826,2020-03-31,PBF,9134100000.0,1948300000.0,-900000.0,119990000.0,7.079999923706055
6827,2019-12-31,PBF,9132400000.0,3039600000.0,-8400000.0,119800000.0,31.028526306152344
6828,2020-09-30,PFBC,5085574000.0,503867000.0,,14930000.0,31.835247039794922
6829,2020-06-30,PFBC,5004457000.0,488729000.0,,14930000.0,42.15506362915039
