,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
1,INOD,2020-06-30,17000,2020-06-30,51328000.0,2020-06-30,25299000.0,2020-06-30,
2,INOD,2020-03-31,64000,2020-03-31,48876000.0,2020-03-31,25239000.0,2020-03-31,
3,INOD,2019-12-31,664000,2019-12-31,49746000.0,2019-12-31,26309000.0,2019-12-31,-1799000.0
0,HAFC,2020-09-30,0,2020-09-30,6106782000.0,2020-09-30,563203000.0,2020-09-30,-26000.0
1,HAFC,2020-06-30,0,2020-06-30,6218163000.0,2020-06-30,547436000.0,2020-06-30,-120000.0
2,HAFC,2020-03-31,0,2020-03-31,5617690000.0,2020-03-31,552958000.0,2020-03-31,-2367000.0
3,HAFC,2019-12-31,0,2019-12-31,5538184000.0,2019-12-31,563267000.0,2019-12-31,-7418000.0
0,MMS,2020-09-30,84982000,2020-09-30,2024702000.0,2020-09-30,1241819000.0,2020-09-30,
1,MMS,2020-06-30,87309000,2020-06-30,2062986000.0,2020-06-30,1194947000.0,2020-06-30,
2,MMS,2020-03-31,37311000,2020-03-31,1960406000.0,2020-03-31,1138468000.0,2020-03-31,-165061000.0
3,MMS,2019-12-31,79135000,2019-12-31,1989791000.0,2019-12-31,1299005000.0,2019-12-31,-12512000.0
0,MCFT,2020-10-04,13404000,2020-10-04,211220000.0,2020-10-04,58923000.0,2020-10-04,-154000.0
1,MCFT,2020-06-30,-1028000,2020-06-30,207923000.0,2020-06-30,48870000.0,2020-06-30,-154000.0
2,MCFT,2020-03-29,9260000,2020-03-29,250268000.0,2020-03-29,51356000.0,2020-03-29,-154000.0
3,MCFT,2019-12-29,10335000,2019-12-29,245818000.0,2019-12-29,87910000.0,2019-12-29,-110000.0
0,FELE,2020-09-30,47024300,2020-09-30,1201442000.0,2020-09-30,810569000.0,2020-09-30,-1367000.0
1,FELE,2020-06-30,33008000,2020-06-30,1151332000.0,2020-06-30,773864000.0,2020-06-30,-743000.0
2,FELE,2020-03-31,16694000,2020-03-31,1149533000.0,2020-03-31,751179000.0,2020-03-31,-16981000.0
3,FELE,2019-12-31,28586000,2019-12-31,1194743000.0,2019-12-31,796545000.0,2019-12-31,-440000.0
0,WTRE,2020-09-30,85061000,2020-09-30,3653220000.0,2020-09-30,866899000.0,2020-09-30,
1,WTRE,2020-06-30,189781000,2020-06-30,3547758000.0,2020-06-30,776151000.0,2020-06-30,
2,WTRE,2020-03-31,-268709000,2020-03-31,3406947000.0,2020-03-31,564054000.0,2020-03-31,-2867000.0
3,WTRE,2019-12-31,22531000,2019-12-31,3550856000.0,2019-12-31,872353000.0,2019-12-31,-75056000.0
0,ESRT,2020-09-30,14031000,2020-09-30,4010714000.0,2020-09-30,1069269000.0,2020-09-30,-7345000.0
1,ESRT,2020-06-30,4435000,2020-06-30,4550395000.0,2020-06-30,1080221000.0,2020-06-30,-51939000.0
2,ESRT,2020-03-31,26973000,2020-03-31,4664558000.0,2020-03-31,1148584000.0,2020-03-31,-62666000.0
3,ESRT,2019-12-31,47112000,2019-12-31,3931834000.0,2019-12-31,1228520000.0,2019-12-31,-62666000.0
0,DGII,2020-09-30,5235000,2020-09-30,528682000.0,2020-09-30,371500000.0,2020-09-30,-99000.0
1,DGII,2020-06-30,3409000,2020-06-30,526869000.0,2020-06-30,363305000.0,2020-06-30,-8000.0
2,DGII,2020-03-31,3762000,2020-03-31,554752000.0,2020-03-31,358363000.0,2020-03-31,-107000.0
3,DGII,2019-12-31,1423000,2019-12-31,560904000.0,2019-12-31,356315000.0,2019-12-31,-1577000.0
0,NGS,2020-09-30,-941000,2020-09-30,304313000.0,2020-09-30,252858000.0,2020-09-30,
1,NGS,2020-06-30,-148000,2020-06-30,301159000.0,2020-06-30,252857000.0,2020-06-30,
2,NGS,2020-03-31,-273000,2020-03-31,302669000.0,2020-03-31,252129000.0,2020-03-31,-149000.0
3,NGS,2019-12-31,-1986000,2019-12-31,286577000.0,2019-12-31,247693000.0,2019-12-31,-90000.0
0,TMO,2020-09-26,2389000000,2020-09-26,64061000000.0,2020-09-26,31824000000.0,2020-09-26,
1,TMO,2020-06-27,1447000000,2020-06-27,61593000000.0,2020-06-27,29875000000.0,2020-06-27,
