,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
3,ASGN,2019-12-31,77000000,2019-12-31,2941400000.0,2019-12-31,1376200000.0,2019-12-31,-4500000.0
0,KRNY,2020-09-30,0,2020-09-30,7310209000.0,2020-09-30,1124060000.0,2020-09-30,-49000.0
1,KRNY,2020-06-30,0,2020-06-30,6758175000.0,2020-06-30,1084177000.0,2020-06-30,-10000.0
2,KRNY,2020-03-31,0,2020-03-31,6773833000.0,2020-03-31,1069672000.0,2020-03-31,-17664000.0
3,KRNY,2019-12-31,0,2019-12-31,6610401000.0,2019-12-31,1094570000.0,2019-12-31,-22550000.0
0,TXRH,2020-09-29,38692000,2020-09-29,2188011000.0,2020-09-29,902916000.0,2020-09-29,-2272000.0
1,TXRH,2020-06-30,-47758000,2020-06-30,2130484000.0,2020-06-30,868021000.0,2020-06-30,-2275000.0
2,TXRH,2020-03-31,16385000,2020-03-31,2054704000.0,2020-03-31,896292000.0,2020-03-31,-17952000.0
3,TXRH,2019-12-31,52118000,2019-12-31,1983565000.0,2019-12-31,915994000.0,2019-12-31,-10545000.0
0,MTH,2020-09-30,134373000,2020-09-30,3687318000.0,2020-09-30,2199849000.0,2020-09-30,
1,MTH,2020-06-30,116453000,2020-06-30,3541728000.0,2020-06-30,2084601000.0,2020-06-30,
2,MTH,2020-03-31,86238000,2020-03-31,3914456000.0,2020-03-31,1990766000.0,2020-03-31,-60813000.0
3,MTH,2019-12-31,116629000,2019-12-31,3398249000.0,2019-12-31,1973990000.0,2019-12-31,-7078000.0
0,SNN,2020-06-27,-2500000,2020-06-27,9539000000.0,2020-06-27,4960000000.0,2020-06-27,-8000000.0
1,SNN,2020-03-27,-2500000,2020-03-27,9539000000.0,2020-03-27,4960000000.0,2020-03-27,-8000000.0
2,SNN,2019-12-31,268000000,2019-12-31,9299000000.0,2019-12-31,5141000000.0,2019-12-31,-10000000.0
3,SNN,2019-09-30,268000000,2019-09-30,9299000000.0,2019-09-30,5141000000.0,2019-09-30,-10000000.0
0,GMDA,2020-09-30,-15060000,2020-09-30,98708000.0,2020-09-30,60568000.0,2020-09-30,
1,GMDA,2020-06-30,-12844000,2020-06-30,113215000.0,2020-06-30,74550000.0,2020-06-30,
2,GMDA,2020-03-31,-12341000,2020-03-31,56929000.0,2020-03-31,25282000.0,2020-03-31,
3,GMDA,2019-12-31,-14368000,2019-12-31,68775000.0,2019-12-31,34983000.0,2019-12-31,-83000.0
0,UTI,2020-09-30,6153000,2020-09-30,441981000.0,2020-09-30,107669000.0,2020-09-30,-171000.0
1,UTI,2020-06-30,-13779000,2020-06-30,421583000.0,2020-06-30,102129000.0,2020-06-30,-171000.0
2,UTI,2020-03-31,-499000,2020-03-31,433127000.0,2020-03-31,116203000.0,2020-03-31,-30000.0
3,UTI,2019-12-31,4254000,2019-12-31,382061000.0,2019-12-31,57420000.0,2019-12-31,-497000.0
0,PII,2020-09-30,239400000,2020-09-30,4783600000.0,2020-09-30,947500000.0,2020-09-30,-200000.0
1,PII,2020-06-30,83800000,2020-06-30,4312700000.0,2020-06-30,753000000.0,2020-06-30,-500000.0
2,PII,2020-03-31,5500000,2020-03-31,4763900000.0,2020-03-31,1001600000.0,2020-03-31,-48800000.0
3,PII,2019-12-31,136359000,2019-12-31,4430529000.0,2019-12-31,1107999000.0,2019-12-31,-1381000.0
0,VST,2020-09-30,948000000,2020-09-30,25499000000.0,2020-09-30,8444000000.0,2020-09-30,
1,VST,2020-06-30,377000000,2020-06-30,26307000000.0,2020-06-30,8056000000.0,2020-06-30,
2,VST,2020-03-31,475000000,2020-03-31,26669000000.0,2020-03-31,7936000000.0,2020-03-31,
3,VST,2019-12-31,365000000,2019-12-31,26616000000.0,2019-12-31,7959000000.0,2019-12-31,-24000000.0
0,TNET,2020-09-30,45000000,2020-09-30,2867000000.0,2020-09-30,620000000.0,2020-09-30,-40000000.0
1,TNET,2020-06-30,173000000,2020-06-30,2802000000.0,2020-06-30,616000000.0,2020-06-30,-63000000.0
2,TNET,2020-03-31,120000000,2020-03-31,2765000000.0,2020-03-31,533000000.0,2020-03-31,-43000000.0
3,TNET,2019-12-31,63000000,2019-12-31,2748000000.0,2019-12-31,475000000.0,2019-12-31,-67000000.0
