,ticker,so
839,EXR,129235000
840,XOM,4228229888
841,FNB,322635008
842,FN,36938500
843,FDS,37993500
844,FICO,29098200
845,SFUN,9005220
846,FTCH,297017984
847,FPI,29351300
848,FST,20000000
849,FSLY,102400000
850,FBK,47198700
851,FFG,24383100
852,AGM,9204910
853,FRT,75647104
854,FSS,60523400
855,FMN,11499100
856,FHI,100938000
857,FDX,262592000
858,RACE,184748000
859,FOE,82290600
860,FCAU,1574710016
861,FNF,293673984
862,FIS,620508992
863,FMO,7088150
864,FINV,305744992
865,FAF,111645000
866,FBP,218228992
867,FCF,96132800
868,FSLF,7418990
869,FHN,554787968
870,FR,129050000
871,AG,221238000
872,FRC,172208992
873,FFA,19982800
874,FMY,4213120
875,FDEU,17231900
876,FIF,17550200
877,FSD,34151000
878,FPF,60766000
879,FPL,25715400
880,FIV,35831600
881,FCT,26667000
882,FGB,14367600
883,FEO,5027320
884,FAM,12691500
885,FE,542110016
886,FSR,144904000
887,FIT,244868000
888,FPH,69051296
889,FVRR,35117200
890,FBC,52564300
891,DFP,19171800
892,PFD,11274900
893,PFO,12667300
894,FFC,44487500
895,FLC,9991050
896,FLT,83401600
897,FLNG,54110600
898,FND,103997000
899,FTK,73094896
900,FLO,211603008
901,FLS,130263000
902,FLR,140326000
903,FLY,30481100
904,FEAC,69000000
905,FMC,129757000
906,WPF,103500000
907,BFT,146703008
908,FMX,357823008
909,FL,104391000
910,F,3907579904
911,FOR,48061900
912,FTS,465000000
913,FTV,337196000
914,FTAI,85617104
915,FAII,34500000
916,FSM,184196000
917,FBHS,138928992
918,FET,5575960
919,FBM,43207100
920,FCPT,73445104
921,FEDU,46382400
922,FNV,190588000
923,FC,14025400
924,BEN,495230016
925,FT,25131900
926,FI,226319008
927,FCX,1452870016
928,FMS,585667968
929,FDP,47366900
930,RESI,58747100
931,FRO,197692000
932,FSK,123756000
933,FSKR,170132000
934,FCN,35661700
935,FUBO,67099400
936,FUSE,35000000
937,FF,43743200
938,GCV,18821400
939,GAB,259700000
940,GGZ,9268660
941,GGT,25104500
942,GUT,54921500
943,GLEO,17400000
944,GBL,8566020
945,GNT,20801900
946,GME,64758900
947,GCI,137959008
948,GPS,373592992
949,IT,89286896
950,GLOG,95114200
951,GLOP,47517800
952,GTES,290790016
953,GATO,59183100
954,GATX,35000000
955,GCP,73058304
956,GNK,41801800
957,GNRC,62841700
958,GAM,24644100
959,GE,8759870464
960,GIS,610918016
961,GM,1431309952
962,GCO,14993800
963,GEL,122539000
964,GNE,24645400
965,G,189348000
966,GPC,144290000
967,GNW,505595008
968,GEO,121315000
969,GPRK,60612300
970,GGB,1701159936
971,GTY,42806300
972,GFL,314300992
973,GIX,22245000
974,GIK,25893500
975,GIL,198307008
976,GLT,44367800
977,GKOS,44961400
978,GSK,2508709888
979,GB,167824992
980,CO,121551000
981,GMRE,48188300
982,GNL,89482600
983,GLP,33995600
984,GPN,299336992
985,GSL,17741000
986,GLOB,39559900
987,GL,104662000
988,GMED,76241600
989,GMS,42735600
990,GOAC,57500000
991,GDDY,167904000
992,GOL,177004992
993,GFI,883334016
994,GSBD,101534000
995,GS,344068000
996,GER,8858050
997,GRC,26102000
998,GPX,17161900
999,GGG,167540992
1000,EAF,267188992
1001,GHM,9976890
1002,GHC,4042470
1003,GVA,46741300
1004,GPMT,55205100
1005,GPK,270783008
1006,GTN,89113000
1007,AJX,23034400
1008,GWB,55014200
1009,GDOT,53479800
1010,GBX,32700900
1011,GHL,18972200
1012,GHG,101866000
1013,GEF,26442000
1014,GFF,56129800
1015,GPI,18314200
1016,GRUB,92755000
1017,PAC,56100000
1018,ASR,30000000
1019,AVAL,1114050048
1020,SUPV,91344496
1021,TV,564001024
1022,GSAH,75000000
1023,GSX,238324992
1024,GTT,58819500
1025,GSH,141671008
1026,GES,63610500
1027,GPM,48342600
1028,GOF,44225700
1029,GBAB,18752600
1030,GWRE,83180000
1031,GHLD,19667000
1032,HRB,192898000
1033,FUL,51735600
1034,HAE,50777300
1035,HAL,884006976
1036,HBB,9637810
1037,HBI,348324000
1038,HNGR,38109400
1039,HASI,75376896
1040,HOG,153279008
1041,HMY,597270016
1042,HSC,78916096
1043,HIG,358329984
1044,HVT,16699700
1045,HE,109181000
1046,HCHC,47353300
1047,HCA,338375008
1048,HCI,7982060
1049,HDB,1835079936
1050,HR,136054000
1051,HTA,218574000
1052,PEAK,538361024
1053,HL,531022016
1054,HEI,54189200
1055,HLX,150160992
1056,HP,107478000
1057,HLF,121616000
1058,HRI,29225900
1059,HTGC,114617000
1060,HRTG,28058900
1061,HT,38843500
1062,HSY,147530000
1063,HES,307076992
1064,HESM,18028300
1065,HPE,1286380032
1066,HXL,83535696
1067,HEXO,483444992
1068,PCF,5565010
1069,HGLB,22501900
1070,HFRO,71409296
1071,HPR,4305120
1072,HIW,103908000
1073,HIL,56227900
1074,HI,74779296
1075,HRC,66640800
1076,HTH,90238400
1077,HGV,85106496
1078,HLT,277308992
1079,HNI,42714600
1080,HMLP,33286300
1081,HEP,105440000
1082,HFC,162016992
1083,HD,1076460032
1084,HMC,1726610048
1085,HON,701686016
1086,HMN,41412900
1087,HZAC,54398400
1088,HZN,26219200
1089,HRL,539608000
1090,HLI,51519300
1091,HOV,5517610
1092,HHC,54922800
1093,HWM,433604000
1094,HPQ,1373500032
1095,HPX,25300000
1096,HSBC,4073520128
1097,HMI,61949500
1098,HNP,392452000
1099,HUBB,54236500
1100,HUBS,45887600
1101,HBM,261272000
1102,HUD,39344700
1103,HPP,152144992
1104,HUM,132293000
1105,HCFT,24943400
1106,HII,40492600
1107,HUN,220791008
1108,HUYA,235298000
1109,H,38479000
1110,HYLN,153902000
1111,HY,12953400
1112,IAA,134464992
1113,IAG,471003008
1114,IBN,3449679872
1115,ICL,1280550016
1116,IDA,50461900
1117,IEX,75705800
1118,IDT,23901500
1119,INFO,398359008
1120,IH,52274500
1121,ITW,316520000
1122,IMAX,58861200
1123,ICD,6175820
1124,IHC,14637800
1125,IRT,94840000
1126,IFN,26904600
1127,IBA,50000000
1128,INFY,4242589952
1129,ING,3900100096
1130,IR,417656000
1131,INGR,66990300
1132,IIPR,22174400
1133,INSI,10710000
1134,NSP,38354100
1135,INSP,26800100
1136,IBP,29800500
1137,ITGR,32875200
1138,ICE,561283968
1139,IHG,182656000
1140,IFS,115447000
1141,IBM,891057024
1142,IFF,106933000
1143,IGT,204856992
1144,IP,393095008
1145,INSW,27984800
1146,IPV,31055500
1147,IPG,390035008
1148,IPI,13294200
1149,IVC,34411700
1150,VBF,11386600
1151,VCV,47865300
1152,VTA,62980100
1153,IHIT,24057900
1154,IHTA,8780130
1155,VLT,6494740
1156,IVR,181375008
1157,OIA,47554200
1158,VMO,67414496
1159,VKQ,55320200
1160,VPV,23829500
1161,IVZ,459166016
1162,IQI,52883800
1163,VVR,153031008
1164,VTN,19477800
1165,VGM,54225300
1166,IIM,47056500
1167,IRET,12975900
1168,NVTA,176700000
1169,INVH,560532992
1170,IACA,25875000
1171,IO,14993500
1172,IQV,191726000
1173,IRM,288171008
1174,IRS,57867600
1175,ITCB,341604992
1176,ITUB,9762459648
1177,ITT,86400000
1178,IVH,16570200
1179,JPM,3048199936
1180,JAX,15070100
1181,JILL,48103100
1182,SJM,114074000
1183,JBL,150574000
1184,J,130208000
1185,JHX,443936992
1186,JHG,182491008
1187,JOF,28333900
1188,JWS,69000000
1189,JBGS,133600000
1190,JEF,254146000
1191,JELD,100752000
1192,JT,21134200
1193,JKS,44470900
1194,JMP,19665900
1195,JBT,31729200
1196,BTO,18720300
1197,HEQ,12223800
1198,JHS,11646600
1199,JHI,8707020
1200,HPF,21372800
1201,HPI,26192000
1202,HPS,31697300
1203,PDT,48644300
1204,HTD,35400800
1205,HTY,10913500
1206,JNJ,2632539904
1207,JCI,723907968
1208,JLL,51302900
1209,JMIA,81081000
1210,JIH,34500000
1211,JNPR,329736000
1212,JP,33714300
1213,JE,48051300
1214,LRN,41536200
1215,KAI,11509600
1216,KAMN,27677400
1217,KSU,93601600
1218,KAR,129252000
1219,KYN,126448000
1220,KMF,47197500
1221,KB,394633984
1222,KBH,97844400
1223,KBR,142527008
1224,BEKE,1143379968
1225,K,343712992
1226,KMPR,65408400
1227,KMT,83276000
1228,KW,141730000
1229,KEN,53871200
1230,KCAC,23000000
1231,KEY,976473024
1232,KEYS,187139008
1233,KRC,115251000
1234,KRP,38948000
1235,KMB,340136992
1236,KIM,432499008
1237,KMI,2263790080
1238,KFS,22711100
1239,KGC,1258300032
1240,KEX,60039000
1241,KL,272984992
1242,KRG,84203600
1243,KKR,569188992
1244,KIO,20340300
1245,KREF,55619400
1246,KNX,169832000
1247,KNL,50682100
1248,KNOP,32694100
1249,KN,91673800
1250,KSS,157775008
1251,PHG,909472000
1252,KTB,57205400
1253,KOP,21045700
1254,KEP,1283929984
1255,KF,5034820
1256,KFY,54781100
1257,KOS,405455008
1258,KRA,31871900
1259,KR,774324992
1260,KRO,115543000
1261,KT,490744000
1262,LB,277828992
1263,SCX,6434820
1264,LHX,210112000
1265,LH,97400000
1266,LADR,120267000
1267,LAIX,49412200
1268,LW,146339008
1269,LCI,41625600
1270,LPI,12003800
1271,LVS,763827968
1272,LGI,13009700
1273,LAZ,105006000
1274,LZB,45995500
1275,LCII,25154200
1276,LEAF,27390100
1277,LEA,60038800
1278,LEE,58358600
1279,LGC,6122700
1280,LEG,132519000
1281,LDOS,142320992
1282,LEJU,136304000
1283,LMND,56590500
1284,LC,78232704
1285,LEN,275116000
1286,LII,38289400
1287,LEVI,66461000
1288,LXP,276952992
1289,LPL,715630976
1290,DFNS,17250000
1291,USA,212852992
1292,ASG,41641600
1293,LBRT,91383400
1294,LSI,48597500
1295,LITB,111776000
1296,LSPD,89803504
1297,LNC,193264992
1298,LIN,525360000
1299,LNN,10834800
1300,LN,243703008
1301,LINX,175690000
1302,LAD,26102400
1303,LAC,91532200
1304,LYV,213416992
1305,LOAK,20000000
1306,LTHM,146303008
1307,RAMP,66312600
1308,LYG,17703800832
1309,SCD,17983300
1310,LMT,279784000
1311,L,274872992
1312,LOMA,119200000
1313,LGVW,41400000
1314,LPX,109324000
1315,LOW,755736000
1316,LXU,29317200
1317,LTC,39242200
1318,LUB,30674600
1319,LU,2439360000
