,date,ticker,at,op,so
78,2019-06-30,GSUM,1014170000.0,-131976000.0,231000.0
79,2019-06-30,GTT,4894700000.0,43200000.0,
80,2019-06-30,GVA,2558141000.0,-122402000.0,468000.0
81,2019-06-30,HAPP,71315498.0,4911122.0,11500.0
82,2019-06-30,HKIB,8320039681.0,253251987.0,164757.0
83,2019-06-30,HX,146790300.0,-7073128.0,4985.0
84,2019-06-30,IBEX,188302000.0,4593000.0,12000.0
85,2019-06-30,IKT,,-2338612.0,
86,2019-06-30,IMTX,,-6339000.0,
87,2019-06-30,JT,2225137000.0,-93875000.0,286000.0
88,2019-06-30,KRBP,,-269000.0,
89,2019-06-30,KXIN,176371000.0,-6256000.0,4000.0
90,2019-06-30,LATN,232614.0,-1197.0,503.0
91,2019-06-30,LEO,867129688.0,8027573.0,62196.0
92,2019-06-30,LGHL,,1757563.0,
93,2019-06-30,LKCO,91486064.0,-5268117.0,2003176.0
94,2019-06-30,LU,,5674266500.0,
95,2019-06-30,LXEH,,17877159.0,
96,2019-06-30,LYL,10885700.0,-83757.0,1142.0
97,2019-06-30,METX,,-58998000.0,
98,2019-06-30,MKD,295818000.0,-51003500.0,98000.0
99,2019-06-30,MNSO,5226115000.0,307482000.0,
100,2019-06-30,MSP,,5119000.0,
101,2019-06-30,NBSE,,-1960393.0,
102,2019-06-30,NCTY,195287583.0,-21415160.0,6924074.0
103,2019-06-30,NEWA,69819916.0,-612759.0,10809.0
104,2019-06-30,NFH,295647177.0,-50650.0,1211.0
105,2019-06-30,NISN,56241792.0,-309205.0,16269.0
106,2019-06-30,NXR,215814637.0,1866431.0,130456.0
107,2019-06-30,PBTS,38490688.0,-1186015.0,14863.0
108,2019-06-30,PETZ,18537112.0,-620602.0,12517.0
109,2019-06-30,RENN,392449000.0,-15348000.0,1048000.0
110,2019-06-30,RETO,83266563.0,-1296628.0,22760.0
111,2019-06-30,ROOT,,-47200000.0,
112,2019-06-30,SEED,261112000.0,-29316500.0,
113,2019-06-30,SONN,,-1404204.0,
114,2019-06-30,SPCB,48755000.0,580000.0,1110000.0
115,2019-06-30,SRL,,-9944500.0,16000.0
