,endDate,totalAssets,ticker
421,2020-03-31,43913000000.0,CNHI
422,2019-12-31,47352000000.0,CNHI
423,2020-09-30,1590600000.0,SWM
424,2020-06-30,1578100000.0,SWM
425,2020-03-31,1655200000.0,SWM
426,2019-12-31,1471700000.0,SWM
427,2020-09-30,3876000000.0,CVI
428,2020-06-30,3928000000.0,CVI
429,2020-03-31,4125000000.0,CVI
430,2019-12-31,3905000000.0,CVI
431,2020-09-30,15925647000.0,FFBC
432,2020-06-30,15870890000.0,FFBC
433,2020-03-31,15057567000.0,FFBC
434,2019-12-31,14511625000.0,FFBC
435,2020-07-31,1619582403.0,MYI
436,2020-04-30,1619582403.0,MYI
437,2020-01-31,1658665469.0,MYI
438,2019-10-31,1658665469.0,MYI
439,2020-09-30,1366954000.0,CHE
440,2020-06-30,1291192000.0,CHE
441,2020-03-31,1277559000.0,CHE
442,2019-12-31,1268317000.0,CHE
443,2020-09-30,18725000.0,VCNX
444,2020-06-30,3099000.0,VCNX
445,2020-03-31,4881000.0,VCNX
446,2019-12-31,4604000.0,VCNX
447,2020-07-31,1437241000.0,SNOW
448,2020-04-30,1416181000.0,SNOW
449,2020-01-31,1012720000.0,SNOW
450,2019-10-31,1012720000.0,SNOW
451,2020-10-25,22353000000.0,AMAT
452,2020-07-26,21171000000.0,AMAT
453,2020-04-26,21815000000.0,AMAT
454,2020-01-26,19767000000.0,AMAT
455,2020-09-30,194537000.0,ERII
456,2020-06-30,185972000.0,ERII
457,2020-03-31,190612000.0,ERII
458,2019-12-31,188774000.0,ERII
459,2020-09-30,13787140000.0,SCI
460,2020-06-30,13487930000.0,SCI
461,2020-03-31,12715258000.0,SCI
462,2019-12-31,13677430000.0,SCI
463,2020-09-30,68863000.0,ATHX
464,2020-06-30,86436000.0,ATHX
465,2020-03-31,39068000.0,ATHX
466,2019-12-31,41666000.0,ATHX
467,2020-09-30,1224700000.0,FSS
468,2020-06-30,1211200000.0,FSS
469,2020-03-31,1227100000.0,FSS
470,2019-12-31,1165500000.0,FSS
471,2020-09-30,3015924000.0,ITRI
472,2020-06-30,3012142000.0,ITRI
473,2020-03-31,3071747000.0,ITRI
474,2019-12-31,2707841000.0,ITRI
475,2020-09-27,1100451000.0,MAXN
476,2020-06-28,795555000.0,MAXN
477,2020-03-29,893746000.0,MAXN
478,2019-09-29,,MAXN
479,2020-09-30,1175600000.0,DSKE
480,2020-06-30,1134000000.0,DSKE
481,2020-03-31,1138100000.0,DSKE
482,2019-12-31,1140600000.0,DSKE
483,2020-09-27,3123300000.0,CREE
484,2020-06-28,3231000000.0,CREE
485,2020-03-29,2737900000.0,CREE
486,2019-12-29,2782800000.0,CREE
487,2020-09-30,4863551000.0,UAA
488,2020-06-30,5003341000.0,UAA
489,2020-03-31,4837575000.0,UAA
490,2019-12-31,4843531000.0,UAA
491,2020-09-30,62775000000.0,CNA
492,2020-06-30,62095000000.0,CNA
493,2020-03-31,58405000000.0,CNA
494,2019-12-31,60612000000.0,CNA
495,2020-09-30,79993000.0,XGN
496,2020-06-30,80513000.0,XGN
497,2020-03-31,84644000.0,XGN
498,2019-12-31,88310000.0,XGN
499,2020-09-30,7176600000.0,KW
500,2020-06-30,7069500000.0,KW
501,2020-03-31,6948000000.0,KW
502,2019-12-31,7304500000.0,KW
503,2019-12-31,663748000.0,DXF
504,2019-09-30,663748000.0,DXF
505,2019-06-30,689966000.0,DXF
506,2019-03-31,689966000.0,DXF
507,2020-07-31,88944000.0,FEIM
508,2020-04-30,91276000.0,FEIM
509,2020-01-31,90168000.0,FEIM
510,2019-10-31,91949000.0,FEIM
511,2020-09-30,382245000.0,VCRA
